# energy, eels_NLFC_w, eels_LFC_w
5.882521, 0.116499, 0.142542
5.897996, 0.117475, 0.143943
5.913487, 0.118437, 0.145346
5.928994, 0.119381, 0.146748
5.944517, 0.120305, 0.148147
5.960056, 0.121207, 0.149543
5.975611, 0.122085, 0.150934
5.991182, 0.122938, 0.152317
6.006769, 0.123762, 0.153688
6.022372, 0.124552, 0.155039
6.037992, 0.125301, 0.156361
6.053627, 0.126001, 0.157642
6.069279, 0.126644, 0.158870
6.084947, 0.127222, 0.160034
6.100632, 0.127730, 0.161123
6.116332, 0.128162, 0.162131
6.132049, 0.128515, 0.163053
6.147782, 0.128790, 0.163889
6.163532, 0.128990, 0.164640
6.179298, 0.129121, 0.165315
6.195081, 0.129193, 0.165922
6.210879, 0.129216, 0.166475
6.226695, 0.129201, 0.166987
6.242527, 0.129160, 0.167470
6.258375, 0.129101, 0.167935
6.274240, 0.129033, 0.168392
6.290121, 0.128962, 0.168844
6.306019, 0.128893, 0.169298
6.321934, 0.128831, 0.169755
6.337865, 0.128782, 0.170218
6.353813, 0.128753, 0.170690
6.369778, 0.128749, 0.171172
6.385759, 0.128777, 0.171668
6.401758, 0.128842, 0.172177
6.417773, 0.128947, 0.172701
6.433804, 0.129096, 0.173239
6.449853, 0.129290, 0.173787
6.465918, 0.129531, 0.174346
6.482001, 0.129818, 0.174914
6.498100, 0.130155, 0.175490
6.514216, 0.130542, 0.176077
6.530349, 0.130981, 0.176676
6.546499, 0.131476, 0.177291
6.562666, 0.132028, 0.177923
6.578850, 0.132639, 0.178577
6.595052, 0.133311, 0.179255
6.611270, 0.134047, 0.179961
6.627505, 0.134849, 0.180699
6.643758, 0.135720, 0.181474
6.660028, 0.136664, 0.182294
6.676315, 0.137684, 0.183165
6.692619, 0.138785, 0.184097
6.708940, 0.139967, 0.185102
6.725279, 0.141233, 0.186190
6.741635, 0.142580, 0.187370
6.758009, 0.144004, 0.188651
6.774399, 0.145499, 0.190039
6.790808, 0.147057, 0.191535
6.807233, 0.148668, 0.193140
6.823676, 0.150324, 0.194852
6.840137, 0.152016, 0.196669
6.856615, 0.153734, 0.198585
6.873111, 0.155468, 0.200590
6.889624, 0.157206, 0.202672
6.906154, 0.158933, 0.204814
6.922703, 0.160631, 0.206995
6.939269, 0.162280, 0.209191
6.955853, 0.163857, 0.211374
6.972454, 0.165337, 0.213513
6.989073, 0.166692, 0.215574
7.005710, 0.167893, 0.217520
7.022365, 0.168907, 0.219309
7.039037, 0.169708, 0.220898
7.055728, 0.170272, 0.222246
7.072436, 0.170585, 0.223319
7.089162, 0.170640, 0.224092
7.105906, 0.170442, 0.224549
7.122668, 0.170002, 0.224686
7.139448, 0.169341, 0.224513
7.156246, 0.168481, 0.224046
7.173062, 0.167451, 0.223311
7.189897, 0.166277, 0.222339
7.206749, 0.164990, 0.221164
7.223619, 0.163615, 0.219824
7.240508, 0.162179, 0.218354
7.257415, 0.160705, 0.216790
7.274340, 0.159215, 0.215163
7.291283, 0.157729, 0.213506
7.308245, 0.156262, 0.211845
7.325225, 0.154830, 0.210204
7.342223, 0.153444, 0.208601
7.359239, 0.152114, 0.207052
7.376274, 0.150846, 0.205572
7.393328, 0.149647, 0.204171
7.410400, 0.148518, 0.202856
7.427490, 0.147460, 0.201629
7.444599, 0.146465, 0.200487
7.461727, 0.145526, 0.199423
7.478873, 0.144630, 0.198423
7.496037, 0.143766, 0.197474
7.513221, 0.142924, 0.196564
7.530423, 0.142097, 0.195682
7.547643, 0.141283, 0.194823
7.564883, 0.140482, 0.193986
7.582141, 0.139696, 0.193172
7.599418, 0.138932, 0.192387
7.616714, 0.138194, 0.191639
7.634029, 0.137489, 0.190939
7.651362, 0.136822, 0.190295
7.668715, 0.136196, 0.189714
7.686086, 0.135608, 0.189198
7.703477, 0.135053, 0.188744
7.720886, 0.134526, 0.188347
7.738314, 0.134020, 0.187998
7.755762, 0.133532, 0.187693
7.773229, 0.133061, 0.187429
7.790715, 0.132610, 0.187208
7.808220, 0.132185, 0.187037
7.825744, 0.131788, 0.186918
7.843287, 0.131422, 0.186851
7.860850, 0.131082, 0.186830
7.878432, 0.130761, 0.186843
7.896033, 0.130450, 0.186873
7.913654, 0.130137, 0.186897
7.931294, 0.129810, 0.186895
7.948953, 0.129459, 0.186845
7.966632, 0.129079, 0.186732
